tier,basis,case_id,court,date,cause,ruling_quote,cited_statutes,risk,rule_source,flag_for_review
silver,判決關鍵詞抽取(未核對),"TTEV,113,東簡,247,20251205,1",,2025-12-05,給付租金,五、末按，給付無確定期限者，債務人於債權人得請求給付時， 經其催告而未為給付，自受催告時起，負遲延責任；其經債 權人起訴而送達訴狀，與催告有同一之效力；遲延之債務， 以支付金錢為標的者，債權人得請求依法定利率計算之遲延 利息；應付利息之債務，其利率未經約定，亦無法律可據者 ，週年利率為百分之5。,,medium,,Y
silver,判決關鍵詞抽取(未核對),"TNEV,114,南簡,1167,20251212,1",,2025-12-12,遷讓房屋等,（三）經查，被告迄今尚積欠原告113年11月、同年12月、114年 2月至同年6月之租金，原告於114年5月28日寄發系爭存證 信函予被告，經郵局於同年5月29日第一次招領等情，業 經本院認定如前，可知被告於114年5月29日受招領通知時 ，至少已積欠原告113年11月、同年12月、114年2月至同 年5月共6個月之租金，扣除1個月押金後，仍遲付5個月之 租金，而原告雖逕於系爭存證信函表明終止系爭租約，但 亦可認至少於原告催告被告應於114年6月15日前給付積欠 之租金但被告仍未繳納之時，原告終止系爭租約之意思表 示應已發生效力，從而，系爭租約應於114年6月16日發生 終止之效力，則原告主張,民法第14條,medium,內政部公告:押金上限2個月租金,Y
silver,判決關鍵詞抽取(未核對),"TNEV,113,南簡,1373,20251219,1",,2025-12-19,給付租金等,2、次按約定之違約金額過高者，法院得減至相當之數額，民法 第252條定有明文，故約定之違約金苟有過高情事，法院即 得依此規定核減至相當之數額，並無應待至債權人請求給付 後始得核減之限制。,民法第252條,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"TNEV,113,南簡,1373,20251219,1",,2025-12-19,給付租金等,至於當事人約定之違約金是否過高，須依一般 客觀事實，社會經濟狀況，當事人所受損害情形及債務人如 能依約履行時，債權人可享受之一切利益為衡量標準；債務 已為一部履行者，亦得比照債權人所受之利益減少其數額。,,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"TNEV,113,南簡,1373,20251219,1",,2025-12-19,給付租金等,倘違約金係損害賠償總額預定性質者，尤應衡酌債權人實際 上所受之積極損害及消極損害，以決定其約定之違約金是否 過高（最高法院96年度台上字第107號判決意旨參照）。,,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"TNEV,114,南簡,1630,20251224,1",,2025-12-24,遷讓房屋等,"二、原告起訴主張：被告與原告之夫陳建旭簽訂租賃契約書（以 下簡稱系爭租約），約定由陳建旭將原告所有門牌號碼臺南 市○○區○○路○段000巷0000號2樓房屋（以下簡稱系爭房屋） 出租予被告，租賃期間自113年12月1日起至114年11月30日 止，每月租金新臺幣（下同）9,000元，水、電及瓦斯等費 用均由被告自行負擔；詎被告自114年5月起即未給付租金， 陳建旭遂於114年6月25日以存證信函催告被告於收受函後立 即給付欠繳租金否則終止租賃關係，惟被告迄今仍置之不理 。",,medium,,Y
silver,判決關鍵詞抽取(未核對),"SSEV,114,新簡,669,20251226,1",,2025-12-26,遷讓房屋等,㈡詎被告自113年8月起，未按時繳納租金，多次拖延，原告先 前已多次口頭告知被告租賃期滿不再續租，並於114年7月23 日寄發存證信函，催告被告盡速繳交租金，同時終止兩造間 之租賃契約，惟被告未收件，積欠之租金仍未繳納，兩造間 之租賃契約早已終止；退步言之，如認兩造間契約先前尚未 終止，原告則主張以起訴狀繕本之送達為終止租約之意思表 示，被告已無占用系爭房屋之合法權源，爰依民法第455條 前段、第767條第1項規定，請求被告將系爭房屋遷讓返還原 告。,民法第455條、民法第767條,medium,,Y
silver,判決關鍵詞抽取(未核對),"SSEV,114,新簡,669,20251226,1",,2025-12-26,遷讓房屋等,三、得心證之理由： ㈠原告主張前揭一、㈠部分，及原告於114年7月23日寄發存證信 函，催告被告盡速繳交租金，同時主張終止兩造間之租賃契 約等事實，業據提出臺南市政府財政稅務局114年期房屋稅 繳款書、住宅租賃契約書、存證信函資料附卷為證（新司簡 調字卷第19頁至第32頁），並有系爭房屋之房屋稅籍證明書 在卷可稽（新簡字卷第23頁）；被告對於原告主張之上開事 實，已於相當時期受合法之通知，而於言詞辯論期日不到場 ，亦未提出任何書狀或證據資料加以爭執，依民事訴訟法第 436條第2項、第280條第3項前段準用同條第1項規定，應視 同自認，綜合上開證據調查結果，堪信原告此部分之主張為 真實。,民事訴訟法第436條、民法第280條,medium,,Y
silver,判決關鍵詞抽取(未核對),"SSEV,114,新簡,669,20251226,1",,2025-12-26,遷讓房屋等,㈢惟按承租人應依約定日期，支付租金；租金支付有遲延者， 出租人得定相當期限，催告承租人支付租金，如承租人於其 期限內不為支付，出租人得終止契約。,,medium,,Y
silver,判決關鍵詞抽取(未核對),"SSEV,114,新小,726,20251205,1",,2025-12-05,租賃債務及違約金等,約定之違約金額過高者，法院得減至相當之數 額，民法第250條第2項前段、第252條亦有明定。,民法第250條、民法第252條,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"SSEV,114,新小,726,20251205,1",,2025-12-05,租賃債務及違約金等,而約定之違約金是否過高，應就債務人若能如期履行債務 時，債權人可得享受之一切利益為衡量標準，且法院酌減違 約金至相當之數額，關於是否相當，須依一般客觀事實、社 會經濟狀況及當事人所受損害情形，以為斟酌之標準。,,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
